language,locale
afrikaans,af_ZA.UTF-8
arabic,ar_SA.UTF-8
armenian,Hy-AM.UTF-8
basque,eu_ES.UTF-8
bengali,bn_IN.UTF-8
breton,br_FR.UTF-8
bulgarian,bg_BG.UTF-8
catalan,ca_ES.UTF-8
croatian,hr_HR.UTF-8
czech,cs_CZ.UTF-8
danish,da_DK.UTF-8
dutch,nl_NL.UTF-8
english,en.UTF-8
estonian,et_EE.UTF-8
finnish,fi_FI.UTF-8
french,fr_FR.UTF-8
galician,gl_ES.UTF-8
german,de_DE.UTF-8
greek,el_GR.UTF-8
hausa,ha_NG.UTF-8
hebrew,he_IL.UTF-8
hindi,hi_IN.UTF-8
hungarian,hu.UTF-8
indonesian,id_ID.UTF-8
irish,ga_IE.UTF-8
italian,it_IT.UTF-8
latvian,lat.UTF-8
marathi,mr_IN.UTF-8
norwegian,no_NO.UTF-8
persian,fa_IR.UTF-8
polish,pl.UTF-8
portuguese,pt_PT.UTF-8
romanian,ro_RO.UTF-8
russian,ru_RU.UTF-8
slovak,sk_SK.UTF-8
slovenian,sl_SI.UTF-8
somalia,so_SO.UTF-8
spanish,es_ES.UTF-8
swahili,sw_KE.UTF-8
swedish,sv_SE.UTF-8
turkish,tr_TR.UTF-8
yoruba,yo_NG.UTF-8
zulu,zu_ZA.UTF-8
